turn,heading,epfd,hour,imo,to_bow,course,to_stern,status,callsign,month,to_port,to_starboard,lat,spare_1,destination,maneuver,msg_type,raim,dte,second,ais_version,speed,ship_type,draught,day,accuracy,radio,minute,mmsi,year,repeat,lon,shipname
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.32772,b'\x00',,0,1,True,,27,,0.0,,,,True,66562,,225987164,,0,2.158148,
0.0,6,,,,,185.9,,9,,,,,41.369843,b'\x00',,0,1,False,,60,,0.0,,,,True,2308,,224904000,,0,2.185767,
0.0,216,,,,,127.8,,0,,,,,41.311057,b'\x00',,0,3,False,,27,,0.1,,,,True,81325,,636020899,,0,2.150943,
0.0,277,,,,,47.4,,5,,,,,41.370972,b'\x00',,0,3,False,,26,,0.0,,,,True,85082,,215941000,,0,2.185288,
,,3,11,9912842,26,,22,,ZGQV8,1,2,7,,b'\x00',BARCELONA,,5,,False,,2,,37,2.5,17,,,0,319242700,,0,,ACE
0.0,88,,,,,360.0,,0,,,,,41.327687,b'\x00',,0,1,True,,28,,0.0,,,,True,2259,,225987163,,0,2.158505,
0.0,282,,,,,33.9,,5,,,,,41.376845,b'\x00',,0,3,False,,28,,0.0,,,,True,84362,,319095500,,0,2.186637,
0.0,192,,,,,239.0,,0,,,,,41.338383,b'\x00',,0,1,False,,8,,0.2,,,,False,49269,,229353000,,0,2.165567,
-5.0,254,,,,,254.4,,0,,,,,41.30715,b'\x00',,0,1,False,,26,,12.1,,,,True,81987,,566725000,,0,2.36875,
,,15,18,,,,,,,2,,,41.340808,b'\x00\x00',,,4,True,,29,,,,,11,False,2250,0,2240002,2024,0,2.164635,
,,7,18,,,,,,,2,,,41.335082,b'\x00\x00',,,4,False,,29,,,,,11,False,25600,0,2240991,2024,0,2.141278,
TurnRate.NO_TI_DEFAULT,511,,,,,288.4,,0,,,,,41.33873,b'\x00',,0,1,False,,30,,0.2,,,,False,49279,,224569880,,0,2.16631,
-2.0,8,,,,,284.6,,0,,,,,41.371287,b'\x00',,0,1,False,,29,,0.0,,,,False,66690,,224588000,,0,2.177145,
,,15,18,,,,,,,2,,,41.417333,b'\x80\x00',,,4,True,,30,,,,,11,False,2250,0,2241128,2024,0,2.11418,
-14.0,280,,,,,281.0,,0,,,,,41.268233,b'\x00',,0,3,False,,29,,10.9,,,,True,0,,613013405,,0,2.22983,
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.340577,b'\x00',,0,1,True,,30,,0.0,,,,True,114788,,224304570,,0,2.165323,
TurnRate.NO_TI_DEFAULT,511,,,,,48.1,,15,,,,,41.346307,b'\x00',,0,1,False,,30,,0.0,,,,True,66707,,225394000,,0,2.152163,
0.0,3,,,,,75.0,,0,,,,,41.128893,b'\x00',,0,3,False,,32,,1.7,,,,False,28163,,354340000,,0,2.325327,
TurnRate.NO_TI_LEFT,109,,,,,202.9,,0,,,,,41.33775,b'\x00',,0,1,False,,32,,0.1,,,,True,49291,,224569790,,0,2.165867,
TurnRate.NO_TI_DEFAULT,511,,,,,0.0,,7,,,,,41.372967,b'\x00',,0,1,True,,31,,0.0,,,,True,33966,,224368920,,0,2.184938,
0.0,261,,,,,259.9,,0,,,,,41.274238,b'\x00',,0,1,False,,31,,8.8,,,,True,33978,,636011280,,0,2.332232,
TurnRate.NO_TI_DEFAULT,511,,,,,252.3,,0,,,,,41.378773,b'\x00',,0,1,True,,33,,0.2,,,,False,33986,,224001990,,0,2.182595,
0.0,276,,,,,297.5,,0,,,,,41.300497,b'\x00',,0,1,False,,32,,2.4,,,,False,49293,,636020334,,0,2.466812,
TurnRate.NO_TI_DEFAULT,511,,,,,134.1,,7,,,,,41.373717,b'\x00',,0,1,True,,33,,0.1,,,,True,2246,,224066460,,0,2.18499,
0.0,27,,,,,360.0,,0,,,,,41.335597,b'\x00',,0,1,True,,33,,0.0,,,,True,34023,,224101930,,0,2.144977,
0.0,55,,,,,240.7,,0,,,,,41.34798,b'\x00',,0,1,False,,34,,0.1,,,,False,114787,,224327160,,0,2.162742,
,,15,20,0,14,,14,,EAEB,2,4,3,,b'\x00',BARCELONA,,5,,False,,2,,60,2.8,5,,,0,224234560,,0,,BORAMAR LUXE
-7.0,280,,,,,282.5,,0,,,,,41.268268,b'\x00',,0,3,False,,32,,10.9,,,,True,8336,,613013405,,0,2.229637,
0.0,5,,,,,253.5,,0,,,,,41.340835,b'\x00',,0,1,False,,34,,0.0,,,,False,34098,,224220360,,0,2.15023,
0.0,26,,,,,310.7,,0,,,,,41.364018,b'\x00',,0,1,False,,33,,0.0,,,,False,49264,,224115180,,0,2.179687,
,,1,4,9243447,28,,158,,5BZF3,2,17,9,,b'\x00',PALMA,,5,,False,,0,,60,6.0,12,,,30,210772000,,0,,KERRY
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.340407,b'\x00',,0,1,True,,36,,0.0,,,,True,25600,,224551570,,0,2.165245,
0.0,6,,,,,103.8,,15,,,,,41.345815,b'\x00',,0,1,False,,34,,0.0,,,,True,82001,,224026000,,0,2.151988,
0.0,6,,,,,185.9,,9,,,,,41.36984,b'\x00',,0,1,False,,60,,0.0,,,,True,82018,,224904000,,0,2.185767,
-4.0,110,,,,,167.8,,0,,,,,41.340313,b'\x00',,0,1,False,,37,,0.1,,,,True,25600,,225994881,,0,2.165445,
12.0,280,,,,,281.3,,0,,,,,41.268298,b'\x00',,0,3,False,,35,,10.9,,,,True,3360,,613013405,,0,2.22944,
0.0,216,,,,,133.7,,0,,,,,41.311063,b'\x00',,0,1,False,,37,,0.1,,,,True,49278,,636020899,,0,2.150938,
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.32772,b'\x00',,0,1,True,,37,,0.1,,,,True,2252,,225987164,,0,2.158148,
7.0,249,,,,,143.4,,1,,,,,41.307972,b'\x00',,0,3,False,,37,,0.3,,,,False,131072,,277562000,,0,2.197403,
0.0,88,,,,,360.0,,0,,,,,41.327687,b'\x00',,0,1,True,,38,,0.0,,,,True,49241,,225987163,,0,2.158503,
0.0,280,,,,,178.3,,5,,,,,41.376705,b'\x00',,0,3,False,,37,,0.0,,,,False,0,,319134300,,0,2.186737,
-1.0,8,,,,,284.6,,0,,,,,41.371285,b'\x00',,0,1,False,,38,,0.0,,,,False,114805,,224588000,,0,2.177147,
TurnRate.NO_TI_DEFAULT,511,,,,,325.5,,0,,,,,41.338737,b'\x00',,0,1,False,,39,,0.1,,,,False,25600,,224569880,,0,2.166328,
,,1,13,9212034,145,,14,,V7AL8,2,14,13,,b'\x00',ESBCN,,5,,False,,0,,71,8.9,10,,,30,538005024,,0,,RUTH BORCHARD
,,15,18,,,,,,,2,,,41.34081,b'\x00\x00',,,4,True,,39,,,,,11,False,2250,0,2240002,2024,0,2.164637,
5.0,255,,,,,254.0,,0,,,,,41.306983,b'\x00',,0,1,False,,37,,12.1,,,,True,34279,,566725000,,0,2.367967,
